date,holiday_name
2026-08-15,Assumption Day
2026-11-01,All Saints' Day
2026-12-07,Saint Ambrose Day
2026-12-08,Immaculate Conception
2026-12-25,Christmas Day
2026-12-26,Saint Stephen's Day
